year,dist,total_taxes_spent,taxes_min_salary,taxes_median_salary,taxes_max_salary,savings_min_salary,savings_median_salary,savings_max_salary
2012,ALPINE UNION ELEMENTARY,5666992.55,3123783.2399999998,5875072.0,8228914.13,2543209.31,-208079.4500000002,-2561921.58
2012,BORREGO SPRINGS UNIFIED,1956572.02,1495434.48,2015336.0399999998,2348997.84,461137.54000000004,-58764.019999999786,-392425.81999999983
2012,CAJON VALLEY UNION,54130403.15,26150167.019999996,56159544.75,72475123.64999999,27980236.130000003,-2029141.6000000015,-18344720.499999993
2012,CARDIFF ELEMENTARY,2804842.05,1785628.52,2937953.32,3296426.28,1019213.5299999998,-133111.27000000002,-491584.23
2012,CARLSBAD UNIFIED,16053918.81,8567035.2,16110223.2,21436300.8,7486883.610000001,-56304.38999999873,-5382381.99
2012,CHULA VISTA ELEMENTARY,85711219.48,51131691.63999999,87587180.66000001,118665534.75000001,34579527.84000001,-1875961.1800000072,-32954315.27000001
2012,CORONADO UNIFIED,10159163.79,5244790.2,10661342.25,14793290.2,4914373.589999999,-502178.4600000009,-4634126.41
2012,DEHESA ELEMENTARY,617828.64,467614.0,596474.6,846149.0,150214.64,21354.040000000037,-228320.36
2012,DEL MAR UNION ELEMENTARY,19455230.9,10979102.059999999,19816940.919999998,24873706.96,8476128.84,-361710.01999999955,-5418476.060000002
2012,ENCINITAS UNION ELEMENTARY,20411270.610000003,12023821.319999998,20610264.34,25917598.370000005,8387449.290000005,-198993.72999999672,-5506327.760000002
2012,ESCONDIDO UNION,62310205.760000005,29802828.81,64234570.79,81523889.77000001,32507376.950000007,-1924365.0299999937,-19213684.010000005
2012,ESCONDIDO UNION HIGH,20234809.71,12485791.48,20175683.3,31722146.75,7749018.23,59126.41000000015,-11487337.04
2012,FALLBROOK UNION ELEMENTARY,17812050.68,9057000.14,19006109.03,25034993.689999998,8755050.54,-1194058.3500000015,-7222943.009999998
2012,FALLBROOK UNION HIGH,9422772.29,5077959.58,9546166.61,12528631.139999999,4344812.709999999,-123394.3200000003,-3105858.8499999996
2012,GROSSMONT UNION HIGH,65699749.96,37036594.47,66609782.309999995,100706899.97,28663155.490000002,-910032.349999994,-35007150.01
2012,JAMUL-DULZURA UNION ELEMENTARY,3185444.48,2072240.51,3255354.53,4169902.4400000004,1113203.97,-69910.04999999981,-984457.9600000004
2012,JULIAN UNION ELEMENTARY,1194454.31,770755.18,1243383.31,1426973.21,423699.13,-48929.0,-232518.8999999999
2012,JULIAN UNION HIGH,312034.81,203514.0,341290.02,362045.2,108520.81,-29255.21000000002,-50010.390000000014
2012,LA MESA-SPRING VALLEY,38282647.83,16309332.48,40705683.199999996,53822545.28,21973315.349999998,-2423035.3699999973,-15539897.450000003
2012,MOUNTAIN EMPIRE UNIFIED,5444895.3100000005,3666552.3000000003,5183067.91,8028394.350000001,1778343.0100000002,261827.40000000037,-2583499.04
2012,NATIONAL ELEMENTARY,19574453.22,11519123.36,20269440.330000002,24783827.54,8055329.859999999,-694987.1100000031,-5209374.32
2012,OCEANSIDE UNIFIED,66643774.18,30141668.94,68372799.78,101274005.67,36502105.239999995,-1729025.6000000015,-34630231.49
2012,RAMONA CITY UNIFIED,20647162.42,11169507.46,21676170.339999996,26293014.239999995,9477654.96,-1029007.9199999943,-5645851.819999993
2012,RANCHO SANTA FE ELEMENTARY,2809486.25,2195003.4899999998,2758219.05,3602455.94,614482.7600000002,51267.200000000186,-792969.69
2012,SAN DIEGO COUNTY OFFICE OF EDUCATION,22658889.7,13843517.38,23049246.08,29045818.84,8815372.319999998,-390356.37999999896,-6386929.140000001
2012,SAN DIEGUITO UNION HIGH,38718171.38,22172059.379999995,40731148.760000005,49422931.74,16546112.000000007,-2012977.3800000027,-10704760.36
2012,SAN MARCOS UNIFIED,12011423.96,6122269.659999999,12326407.0,17613348.37,5889154.300000002,-314983.0399999991,-5601924.41
2012,SAN PASQUAL UNION ELEMENTARY,1602874.06,1118737.62,1601990.6700000002,2088337.86,484136.43999999994,883.3899999998976,-485463.80000000005
2012,SAN YSIDRO ELEMENTARY,14348357.61,7657152.8,14612964.45,17580100.08,6691204.81,-264606.83999999985,-3231742.469999999
2012,SOLANA BEACH ELEMENTARY,14949273.709999999,8473321.5,15699446.61,18668042.099999998,6475952.209999999,-750172.9000000004,-3718768.3899999987
2012,SWEETWATER UNION HIGH,144694189.14999998,67842534.18,147075894.66,217989368.66,76851654.96999997,-2381705.5100000203,-73295179.51000002
2012,VALLECITOS ELEMENTARY,778972.31,667425.42,781712.1,870847.92,111546.89000000001,-2739.789999999921,-91875.60999999999
2012,VALLEY CENTER-PAUMA UNIFIED,14531150.35,7267154.5200000005,14776923.02,20569661.3,7263995.829999999,-245772.66999999993,-6038510.950000001
2012,VISTA UNIFIED,78808330.96000001,34670575.760000005,82940364.02000001,106770887.5,44137755.2,-4132033.0600000024,-27962556.53999999
2012,WARNER UNIFIED,608097.99,455726.92000000004,635909.67,772149.3999999999,152371.06999999995,-27811.68000000005,-164051.40999999992
2013,ALPINE UNION ELEMENTARY,6461402.82,3478147.5,6758267.25,8311163.25,2983255.3200000003,-296864.4299999997,-1849760.4299999997
2013,BORREGO SPRINGS UNIFIED,1750432.69,1084077.68,1843069.3399999999,2350238.03,666355.01,-92636.6499999999,-599805.3399999999
2013,CAJON VALLEY UNION,51388433.75,26543309.689999998,53756042.38000001,69982130.29,24845124.060000002,-2367608.63000001,-18593696.540000007
2013,CARDIFF ELEMENTARY,3020043.18,2002938.9600000002,3167107.68,3500254.56,1017104.22,-147064.5,-480211.3799999999
2013,CARLSBAD UNIFIED,30513260.45,13723624.959999999,30979363.84,40707128.800000004,16789635.490000002,-466103.3900000006,-10193868.350000005
2013,CHULA VISTA ELEMENTARY,88184665.69,53761773.78,90292067.86,126152261.53999999,34422891.91,-2107402.170000002,-37967595.849999994
2013,CORONADO UNIFIED,10664951.12,5425673.82,11093886.44,15350099.24,5239277.299999999,-428935.3200000003,-4685148.120000001
2013,DEHESA ELEMENTARY,835894.81,477269.64,820915.9800000001,1191127.08,358625.17000000004,14978.829999999958,-355232.27
2013,DEL MAR UNION ELEMENTARY,19739272.99,11466788.74,20359097.630000003,24767779.31,8272484.249999998,-619824.6400000043,-5028506.32
2013,ENCINITAS UNION ELEMENTARY,19532863.650000002,10385810.639999999,20042535.8,24658235.24,9147053.010000004,-509672.1499999985,-5125371.589999996
2013,ESCONDIDO UNION,64030434.52,30227795.21,65909775.180000015,84689017.89,33802639.31,-1879340.6600000113,-20658583.369999997
2013,ESCONDIDO UNION HIGH,20441781.45,12376746.84,20527830.52,33403099.150000002,8065034.609999999,-86049.0700000003,-12961317.700000003
2013,FALLBROOK UNION ELEMENTARY,17796600.89,9008588.16,18942425.46,23966435.060000002,8788012.73,-1145824.5700000003,-6169834.170000002
2013,FALLBROOK UNION HIGH,9201393.13,4353202.1899999995,9281901.76,12080483.26,4848190.940000001,-80508.62999999896,-2879090.129999999
2013,GROSSMONT UNION HIGH,65923072.089999996,35743287.99,66715465.66,99621547.38,30179784.099999994,-792393.5700000003,-33698475.29
2013,JAMUL-DULZURA UNION ELEMENTARY,3255276.5300000003,2113606.73,3370038.66,4023119.32,1141669.8000000003,-114762.12999999989,-767842.7899999996
2013,JULIAN UNION ELEMENTARY,1133850.5,898656.6200000001,1182531.5,1360199.3,235193.8799999999,-48681.0,-226348.80000000005
2013,JULIAN UNION HIGH,317270.5,233113.25,354720.65,371013.94999999995,84157.25,-37450.15000000002,-53743.44999999995
2013,LA MESA-SPRING VALLEY,40223809.82,16296804.179999998,43099558.38,48633225.660000004,23927005.64,-2875748.5600000024,-8409415.840000004
2013,MOUNTAIN EMPIRE UNIFIED,5494598.080000001,3404806.16,5080070.39,8129837.9399999995,2089791.9200000009,414527.69000000134,-2635239.8599999985
2013,NATIONAL ELEMENTARY,20121840.59,11409433.739999998,21028637.5,25425517.71,8712406.850000001,-906796.9100000001,-5303677.120000001
2013,OCEANSIDE UNIFIED,69852124.99,30977209.08,72840390.48,103882696.83,38874915.91,-2988265.4900000095,-34030571.84
2013,POWAY UNIFIED,117608746.45,53639883.0,122838620.79999998,177335933.0,63968863.45,-5229874.349999979,-59727186.55
2013,RAMONA CITY UNIFIED,18255972.19,11242858.44,18967847.51,25133978.09,7013113.750000002,-711875.3200000003,-6878005.8999999985
2013,RANCHO SANTA FE ELEMENTARY,2530688.3600000003,1843143.34,2523606.74,3170717.39,687545.0200000003,7081.620000000112,-640029.0299999998
2013,SAN DIEGO COUNTY OFFICE OF EDUCATION,20991087.25,11781012.57,21565220.45,27345454.679999996,9210074.68,-574133.1999999993,-6354367.429999996
2013,SAN DIEGO UNIFIED,425556303.0,89143366.0,438694114.0,699913628.0,336412937.0,-13137811.0,-274357325.0
2013,SAN DIEGUITO UNION HIGH,45338990.339999996,21324197.77,47843261.03,60501799.99,24014792.569999997,-2504270.690000005,-15162809.650000006
2013,SAN MARCOS UNIFIED,12066147.44,6095644.739999999,12133667.24,19017763.900000002,5970502.7,-67519.80000000075,-6951616.460000003
2013,SAN PASQUAL UNION ELEMENTARY,1623434.73,982403.94,1649227.65,2027698.05,641030.79,-25792.919999999925,-404263.32000000007
2013,SAN YSIDRO ELEMENTARY,14558177.89,7625227.359999999,14893304.120000001,18008342.799999997,6932950.530000001,-335126.23000000045,-3450164.9099999964
2013,SOLANA BEACH ELEMENTARY,15642148.41,9352784.44,16326860.729999999,20323639.39,6289363.970000001,-684712.3199999984,-4681490.98
2013,SOUTH BAY UNION,57633187.989999995,27691886.68,60869445.699999996,68171973.96,29941301.309999995,-3236257.710000001,-10538785.969999999
2013,SPENCER VALLEY ELEMENTARY,126998.19,112650.0,117438.0,150906.57,14348.190000000002,9560.190000000002,-23908.380000000005
2013,SWEETWATER UNION HIGH,145142504.91,66649853.330000006,148363603.75,226361819.43000004,78492651.57999998,-3221098.8400000036,-81219314.52000004
2013,VALLECITOS ELEMENTARY,818864.64,583847.9,870301.7,941020.2000000001,235016.74,-51437.05999999994,-122155.56000000006
2013,VALLEY CENTER-PAUMA UNIFIED,15330945.25,7840889.100000001,15946739.81,21672472.66,7490056.149999999,-615794.5600000005,-6341527.41
2013,VISTA UNIFIED,79701567.69,34139460.56,83837897.39999999,107376555.04,45562107.129999995,-4136329.7099999934,-27674987.35000001
2013,WARNER UNIFIED,494601.67000000004,386325.86,481351.93999999994,648527.5399999999,108275.81000000006,13249.730000000098,-153925.86999999988
2014,CAJON VALLEY UNION,54779655.620000005,25167534.439999998,58458868.85000001,84353914.36,29612121.180000007,-3679213.230000004,-29574258.739999995
2014,CARLSBAD UNIFIED,33770308.32,14684203.200000001,34468962.300000004,44635120.14,19086105.119999997,-698653.9800000042,-10864811.82
2014,CHULA VISTA ELEMENTARY,95160800.43,57115663.92,98725404.26,134902478.85,38045136.510000005,-3564603.829999998,-39741678.41999999
2014,CORONADO UNIFIED,10623044.08,5160230.46,10903970.07,14661700.2,5462813.62,-280925.9900000002,-4038656.119999999
2014,DEL MAR UNION ELEMENTARY,21189245.220000003,13053885.329999998,21961640.369999994,25549573.12,8135359.890000004,-772395.1499999911,-4360327.8999999985
2014,ENCINITAS UNION ELEMENTARY,19822168.58,9591779.25,20427267.78,25322041.73,10230389.329999998,-605099.200000003,-5499873.150000002
2014,ESCONDIDO UNION,63596338.129999995,27713537.929999996,66503234.82,86234647.62,35882800.2,-2906896.690000005,-22638309.49000001
2014,ESCONDIDO UNION HIGH,21956555.619999997,13187747.84,21891971.169999998,35147559.09,8768807.779999997,64584.449999999255,-13191003.470000006
2014,FALLBROOK UNION HIGH,9605634.969999999,4779439.49,9715879.729999999,12514437.059999999,4826195.479999999,-110244.75999999978,-2908802.09
2014,GROSSMONT UNION HIGH,69371873.98,33542849.450000003,70781281.13,104912355.22,35829024.53,-1409407.149999991,-35540481.239999995
2014,JAMUL-DULZURA UNION ELEMENTARY,791158.13,715336.01,800020.01,840997.76,75822.12,-8861.880000000005,-49839.630000000005
2014,LA MESA-SPRING VALLEY,41481456.38999999,18963731.83,44600210.33,53208850.42999999,22517724.559999995,-3118753.940000005,-11727394.04
2014,MOUNTAIN EMPIRE UNIFIED,6013245.96,3329617.28,5648517.31,9378257.71,2683628.68,364728.6500000004,-3365011.750000001
2014,NATIONAL ELEMENTARY,19845913.000000004,12508126.719999999,20652405.46,26576152.869999997,7337786.280000005,-806492.4599999972,-6730239.869999994
2014,OCEANSIDE UNIFIED,71866789.97999999,31351064.939999998,75797316.96,102175866.08,40515725.03999999,-3930526.980000004,-30309076.10000001
2014,POWAY UNIFIED,124186613.72,58811479.41,129207417.28,203557455.51,65375134.31,-5020803.560000002,-79370841.78999999
2014,RAMONA CITY UNIFIED,20024249.650000002,11285232.49,20926442.83,27815781.5,8739017.160000002,-902193.179999996,-7791531.849999998
2014,RANCHO SANTA FE ELEMENTARY,2342633.15,1779872.64,2379281.94,2881891.6,562760.51,-36648.79000000004,-539258.4500000002
2014,SAN DIEGO COUNTY OFFICE OF EDUCATION,20217734.37,9919325.53,20850554.16,25697098.509999998,10298408.840000002,-632819.7899999991,-5479364.139999997
2014,SAN DIEGO UNIFIED,460459396.0,209760643.0,473435295.0,845597715.0,250698753.0,-12975899.0,-385138319.0
2014,SAN DIEGUITO UNION HIGH,48558122.42,23568099.66,51351222.45,67509279.3,24990022.76,-2793100.030000001,-18951156.879999995
2014,SAN MARCOS UNIFIED,53746707.39,26800810.620000005,55595824.74,89230728.79,26945896.769999996,-1849117.3500000015,-35484021.400000006
2014,SAN YSIDRO ELEMENTARY,17274308.12,11158817.809999999,17605363.0,20109343.17,6115490.310000002,-331054.87999999896,-2835035.0500000007
2014,SOUTH BAY UNION,62126568.66,30317871.44,65762487.52,74134670.45,31808697.219999995,-3635918.860000007,-12008101.790000007
2014,SWEETWATER UNION HIGH,156546292.39000002,74346332.1,160753922.15,238886398.71999997,82199960.29000002,-4207629.75999999,-82340106.32999995
2014,VALLECITOS ELEMENTARY,764592.03,359833.77,834543.8099999999,863710.92,404758.26,-69951.77999999991,-99118.89000000001
2014,VALLEY CENTER-PAUMA UNIFIED,8238132.159999999,5022833.38,8625608.58,11161273.72,3215298.7799999993,-387476.42000000086,-2923141.5600000015
2014,VISTA UNIFIED,81586252.99000001,35960950.84,85768936.33,121024413.04,45625302.150000006,-4182683.3399999887,-39438160.05
2014,WARNER UNIFIED,1002147.06,770684.75,995079.9400000001,1210709.21,231462.31000000006,7067.119999999995,-208562.1499999999
2015,ALPINE UNION ELEMENTARY,6580817.35,3177045.13,6893629.93,8236919.23,3403772.2199999997,-312812.5800000001,-1656101.8800000008
2015,BONSALL UNIFIED,7185580.14,4091007.06,7132067.11,10864943.46,3094573.0799999996,53513.02999999933,-3679363.320000001
2015,CAJON VALLEY UNION,57009449.2,25743239.900000002,59927601.43,87773748.25,31266209.3,-2918152.2299999967,-30764299.049999997
2015,CARLSBAD UNIFIED,36276694.0,19341308.0,36883487.0,48146704.0,16935386.0,-606793.0,-11870010.0
2015,CHULA VISTA ELEMENTARY,114267399.14999999,68806472.02,117719136.2,200017214.43,45460927.129999995,-3451737.050000012,-85749815.28000002
2015,CORONADO UNIFIED,9596046.0,5010512.0,9990613.0,13562216.0,4585534.0,-394567.0,-3966170.0
2015,DEL MAR UNION ELEMENTARY,22329658.15,11836209.69,23410876.98,26994301.37,10493448.459999999,-1081218.830000002,-4664643.2200000025
2015,ENCINITAS UNION ELEMENTARY,22961981.0,12713844.0,23286165.0,31533735.0,10248137.0,-324184.0,-8571754.0
2015,ESCONDIDO UNION,62689839.870000005,29553009.8,66171341.24,87324288.89,33136830.070000004,-3481501.3699999973,-24634449.019999996
2015,ESCONDIDO UNION HIGH,30387849.12,15412525.56,30648711.01,48937818.629999995,14975323.56,-260861.8900000006,-18549969.509999994
2015,FALLBROOK UNION ELEMENTARY,21104021.0,13034840.0,22265573.0,27296629.0,8069181.0,-1161552.0,-6192608.0
2015,FALLBROOK UNION HIGH,9863716.0,5351890.0,9869612.0,12923943.0,4511826.0,-5896.0,-3060227.0
2015,GROSSMONT UNION HIGH,69984644.29,37162500.92,71487098.82,103095902.68,32822143.370000005,-1502454.5299999863,-33111258.39
2015,JAMUL-DULZURA UNION ELEMENTARY,2119082.0,1298868.0,2186991.0,2480020.0,820214.0,-67909.0,-360938.0
2015,LA MESA-SPRING VALLEY,41315853.0,17405425.0,44329850.0,58258750.0,23910428.0,-3013997.0,-16942897.0
2015,MOUNTAIN EMPIRE UNIFIED,6762623.91,3563093.32,6330021.88,10923211.6,3199530.5900000003,432602.03000000026,-4160587.6899999995
2015,NATIONAL ELEMENTARY,21634251.03,14150663.67,22603235.549999997,28088486.6,7483587.360000001,-968984.5199999958,-6454235.57
2015,OCEANSIDE UNIFIED,81116220.34,39852578.04,84485876.64,120528811.56,41263642.300000004,-3369656.299999997,-39412591.22
